Buyer.County of Origin,Buyer.Full Name,Buyer.Origin,Buyer.State of Origin,Seller.County of Origin,Seller.Full Name,Seller.Origin,Seller.State of Origin,Slave.Age,Slave.Gender,Slave.Name,Slave.Skin Color,Transaction.Date,Transaction.Number of Adult Slaves,Transaction.Number of Child Slaves,Transaction.Number of Total Slaves Purchased,Transaction.Sale Details.Discount Rate,Transaction.Sale Details.Payment Method,Transaction.Sale Details.Predicted Interest Rate,Transaction.Sale Details.Price,Transaction.Sale Details.Prices Listed
New Orleans,Susan N. Ross,"New Orleans, LA",LA,New Orleans,Joseph M. Savage,"New Orleans, LA",LA,33,M,George,Griff,10/30/1856,1,0,1,0.006202525,Credit,0.07702264,800,1
Unknown,Mary Thayer,"Unknown, Unknown",Unknown,New Orleans,James Peter Freret,"New Orleans, LA",LA,18,F,Mary,Negro,11/14/1856,1,0,1,0.00602698,Cash,0.07477,500,1
New Orleans,Thomas A. Stone,"New Orleans, LA",LA,New Orleans,John A. Burke,"New Orleans, LA",LA,17,F,Dealy,Griff,11/15/1856,1,0,1,0.00602698,Cash,0.07477,700,1
New Orleans,Henry Pear Buckley,"New Orleans, LA",LA,New Orleans,Lewis Neville Shelton,"New Orleans, LA",LA,14,M,Henry,Negro,11/14/1856,1,0,1,0.00602698,Cash,0.07477,1000,1
New Orleans,Oscar Liveaudais,"New Orleans, LA",LA,New Orleans,Louis Gustave McQueen,"New Orleans, LA",LA,20,M,Arthur,Unknown,11/18/1856,1,0,1,0.00587886,Cash and Credit,0.07287264,1000,1
Unknown,S. Gensler,"Unknown, Unknown",Unknown,Unknown,Charles Clement Bellenot,"Unknown, Unknown",Unknown,13,F,Julie,Unknown,10/14/1856,1,0,1,0.00602698,Cash,0.07477,660,1
New Orleans,Alfred Mouchon,"New Orleans, LA",LA,New Orleans,Rosa Miller,"New Orleans, LA",LA,50,F,Delilah,Unknown,11/18/1856,1,0,1,0.00602698,Cash,0.07477,150,1
New Orleans,John B. Robertson,"New Orleans, LA",LA,New Orleans,Cornelius Noonan,"New Orleans, LA",LA,34,M,Floyd,Negro,11/14/1856,1,0,1,0.00602698,Cash,0.07477,1021.33,1
New Orleans,Phillip Jason Frederick Woods,"New Orleans, LA",LA,New Orleans,Holland McTyeire,"New Orleans, LA",LA,43,F,Isabella,Negro,11/14/1856,1,0,1,0.00602698,Cash,0.07477,150,1
New Orleans,Sarah Potee,"New Orleans, LA",LA,New Orleans,John Brohan,"New Orleans, LA",LA,48,F,Criddy,Negro,11/17/1856,1,0,1,0.00602698,Cash,0.07477,230,1
New Orleans,John H. Follett,"New Orleans, LA",LA,New Orleans,Bernard Kendig,"New Orleans, LA",LA,23,F,Ida,Griff,11/18/1856,1,0,1,0.00602698,Cash,0.07477,1250,1
Calcasieu,Jacob Cole,"Calcasieu, LA",LA,New Orleans,William Jackson Maynard,"New Orleans, LA",LA,13,F,Aline,Negro,11/15/1856,1,0,1,0.00602698,Cash,0.07477,800,1
New Orleans,Catherine Pradat,"New Orleans, LA",LA,New Orleans,Norbert Vignie,"New Orleans, LA",LA,23,F,Isabella,Negro,11/18/1856,1,0,1,0.005790818,Cash and Credit,0.07174632,975,1
New Orleans,Manuel Elliot,"New Orleans, LA",LA,St. Bernard,Antoine Landier,"St. Bernard, LA",LA,23,F,Rosa,Negro,11/19/1856,1,0,1,0.005790818,Cash and Credit,0.07174632,1235,1
New Orleans,Thomas L. Bayne,"New Orleans, LA",LA,New Orleans,Genevieve Odile Longer,"New Orleans, LA",LA,40,F,Mathilda,Negro,11/14/1856,1,1,2,0.00602698,Cash,0.07477,1500,1
New Orleans,Louis Caretta,"New Orleans, LA",LA,New Orleans,"Marie, Marthe Millaudon","New Orleans, LA",LA,55,F,Ann/ Celeste,Unknown,11/6/1856,1,0,1,0.005790818,Cash and Credit,0.07174632,220,1
New Orleans,John A. Kranz,"New Orleans, LA",LA,New Orleans,Richard Farrell Harrison,"New Orleans, LA",LA,20,F,Mary Jane,Mulatto,11/21/1856,1,1,2,0.005790818,Cash and Credit,0.07174632,1075,1
New Orleans,Pierre Ninon Faisans,"New Orleans, LA",LA,New Orleans,Thomas Charles Payan,"New Orleans, LA",LA,19,F,Sarah,Mulatto,11/21/1856,1,0,1,0.005790818,Cash and Credit,0.07174632,1200,1
New Orleans,Lewis Neville Shelton,"New Orleans, LA",LA,East Feliciana,James R. Shelton,"East Feliciana, LA",LA,22,M,Dudly Green,Negro,11/22/1856,1,0,1,0.00602698,Cash,0.07477,900,1
New Orleans,Charles Metye,"New Orleans, LA",LA,New Orleans,Anette Malus,"New Orleans, LA",LA,37,F,Cidalize,Negro,11/24/1856,1,0,1,0.00602698,Cash,0.07477,900,1
Orleans,John F. Hughes,"Orleans, LA",LA,Herckman,Felix C. McFall,"Herckman, KY",KY,22,M,Henry,Griff,11/5/1856,1,0,1,0.00602698,Cash,0.07477,1200,1
St. Bernard,Maria Morales,"St. Bernard, LA",LA,New Orleans,Antonio de Monasterio,"New Orleans, LA",LA,30,F,Mary Ann,Negro,11/25/1856,1,0,1,0.00602698,Exchange,0.07477,700,1
New Orleans,Antonio de Monasterio,"New Orleans, LA",LA,St. Bernard,Maria Morales,"St. Bernard, LA",LA,14,F,Philomene,Negro,11/25/1856,1,0,1,0.00602698,Exchange,0.07477,700,1
New Orleans,Truman Cook Holmes,"New Orleans, LA",LA,New Orleans,D. G. Hill,"New Orleans, LA",LA,23,M,Moses,Negro,11/17/1856,1,0,1,0.00602698,Cash,0.07477,1200,1
New Orleans,William Jackson Maynard,"New Orleans, LA",LA,New Orleans,Numa Lacoste,"New Orleans, LA",LA,27,M,Auguste,Negro,11/25/1856,1,0,1,0.00602698,Cash,0.07477,825,1
St. Louis,John Ruckner White,"St. Louis, MO",MO,Pointe Coupee,John L. Daniel,"Pointe Coupee, LA",LA,25,M,Phil,Mulatto,11/24/1856,1,0,1,0.00602698,Cash,0.07477,800,1
New Orleans,Abraham Haber,"New Orleans, LA",LA,New Orleans,Thomas Emile Benoit,"New Orleans, LA",LA,16,F,Lucy,Negro,11/14/1856,1,0,1,0.00602698,Cash,0.07477,900,1
New Orleans,Henry Cassidy,"New Orleans, LA",LA,New Orleans,Henry Weber,"New Orleans, LA",LA,31,F,Maria,Griff,11/22/1856,1,0,1,0.00602698,Cash,0.07477,600,1
New Orleans,Hippolyte Griffon,"New Orleans, LA",LA,St. Louis,Robert Eager,"St. Louis, MS",MS,13,M,John,Negro,11/18/1856,1,0,1,0.006114795,Credit,0.07589632,800,1
New Orleans,Joseph Hoy,"New Orleans, LA",LA,New Orleans,Tyler C. Boswell,"New Orleans, LA",LA,32,M,Richard/ Dick,Negro,11/26/1856,1,0,1,0.00602698,Cash,0.07477,1000,1
New Orleans,Augustine Lion,"New Orleans, LA",LA,New Orleans,Charles Joseph Daron,"New Orleans, LA",LA,54,F,Azelie,Negro,11/27/1856,1,0,1,0.00602698,Cash,0.07477,150,1
New Orleans,Lewis Neville Shelton,"New Orleans, LA",LA,New Orleans,Adelaide Aubry,"New Orleans, LA",LA,30,F,Louise,Negro,11/18/1856,1,0,1,0.00602698,Cash,0.07477,900,1
New Orleans,Rosa Rieux,"New Orleans, LA",LA,New Orleans,Seraphin Maspereau,"New Orleans, LA",LA,35,F,Malinda,Negro,10/21/1856,1,0,1,0.00602698,Cash,0.07477,500,1
New Orleans,Puig Mir & Co. Unknown,"New Orleans, LA",LA,New Orleans,"Joseph, Lorenzo Llado, Carbo","New Orleans, LA",LA,26,M,Caid,Negro,11/27/1856,1,0,1,0.006202525,Credit,0.07702264,1800,1
New Orleans,Blanche Lallande Ferrier,"New Orleans, LA",LA,New Orleans,William G. Mullan,"New Orleans, LA",LA,27,F,Sarah,Negro,11/27/1856,1,0,1,0.00602698,Cash,0.07477,1150,1
New Orleans,Jean Moreau,"New Orleans, LA",LA,New Orleans,Leonard Nicolas Jahan,"New Orleans, LA",LA,45,F,Phillis,Negro,11/28/1856,1,0,1,0.00602698,Cash,0.07477,200,1
New Orleans,John Robertson,"New Orleans, LA",LA,Rusk,Newell Tullis,"Rusk, TX",TX,27,F,Elsey,Negro,11/25/1856,1,0,1,0.00602698,Cash,0.07477,1000,1
New Orleans,William E. Camp,"New Orleans, LA",LA,New Orleans,Bernard Kendig,"New Orleans, LA",LA,15,F,Lucy,Negro,11/28/1856,1,0,1,0.00602698,Cash,0.07477,950,1
New Orleans,Katy Greene,"New Orleans, LA",LA,New Orleans,Joseph Deseameis,"New Orleans, LA",LA,41,F,Harriet,Negro,11/28/1856,1,0,1,0.00602698,Cash,0.07477,200,1
Unknown,Mary Anna McCosky,"Unknown, Unknown",Unknown,New Orleans,Pierre Paul Lobit,"New Orleans, LA",LA,45,F,Rosalie,Unknown,12/1/1856,1,1,2,0.00587886,Cash and Credit,0.07287264,1275,1
Assumption,Daniel Morrison,"Assumption, LA",LA,Baltimore,Bernard Moore Campbell,"Baltimore, MD",MD,23,M,Robert,Negro,12/2/1856,1,0,1,0.00602698,Exchange,0.07477,1500,1
Baltimore,Bernard Moore Campbell,"Baltimore, MD",MD,Assumption,Daniel Morrison,"Assumption, LA",LA,22,M,Sanford Lucas,Negro,12/2/1856,1,0,1,0.00602698,Exchange,0.07477,1500,1
Madison,Thomas Luther Bedford,"Madison, LA",LA,Jefferson,Joseph Holden,"Jefferson, LA",LA,16,F,Lucy,Negro,12/7/1856,1,0,1,0.00602698,Cash,0.07477,1200,1
Madison,Thomas Luther Bedford,"Madison, LA",LA,New Orleans,Dennis Campbell,"New Orleans, LA",LA,20,M,Ezekiel,Negro,12/2/1856,1,0,1,0.00602698,Cash,0.07477,1300,1
Madison,Thomas Luther Bedford,"Madison, LA",LA,Fayette,George R. Harrison,"Fayette, KY",KY,21,M,Austin,Negro,12/2/1856,1,0,1,0.00602698,Cash,0.07477,1350,1
Madison,Thomas Luther Bedford,"Madison, LA",LA,Claiborne,James Smith,"Claiborne, LA",LA,20,M,Thomas,Negro,12/3/1856,1,0,1,0.00602698,Cash,0.07477,1100,1
New Orleans,John L. Lancaster,"New Orleans, LA",LA,New Orleans,Edgar Larue,"New Orleans, LA",LA,24,F,Margaret,Mulatto,12/3/1856,1,0,1,0.006114795,Credit,0.07589632,1150,1
New Orleans,Louis Shelton,"New Orleans, LA",LA,New Orleans,George May,"New Orleans, LA",LA,26,M,Frank,Mulatto,12/2/1856,1,0,1,0.00602698,Cash,0.07477,995,1
New Orleans,Jose Tipura Lopez,"New Orleans, LA",LA,Unknown,John Matlock,"Unknown, AR",AR,25,F,Hester,Griff,12/2/1856,1,0,1,0.00602698,Cash,0.07477,800,1
New Orleans,James Foulhouze,"New Orleans, LA",LA,New Orleans,Anne Clothilde. Penne,"New Orleans, LA",LA,37,F,Peggy,Negro,12/4/1856,1,1,2,0.00602698,Cash,0.07477,1700,1
New Orleans,Micajah Harris Jr.,"New Orleans, LA",LA,Cass,L. Lafayette ,"Cass, TX",TX,33,M,Lewis,Negro,12/3/1856,2,0,2,0.00602698,Cash,0.07477,1700,1
New Orleans,Lewis Neville Shelton,"New Orleans, LA",LA,New Orleans,Robert W. Estlin,"New Orleans, LA",LA,30,M,Arthur,Negro,12/5/1856,1,0,1,0.00602698,Cash,0.07477,900,1
Unknown,Eliza Noel,"Unknown, Unknown",Unknown,New Orleans,Paul Hippolyte Monsseaux,"New Orleans, LA",LA,39,F,Mary,Negro,5/15/1837,1,0,1,0.006114795,Credit,0.07589632,300,1
Jefferson,Dexter G. Hitchcock,"Jefferson, LA",LA,New Orleans,Joseph L. Copes,"New Orleans, LA",LA,37,F,Letty,Negro,12/3/1856,1,0,1,0.00602698,Cash,0.07477,297,1
New Orleans,Joseph Benito,"New Orleans, LA",LA,New Orleans,Louis Joseph Tinchant,"New Orleans, LA",LA,47,M,Martin,Negro,5/15/1837,1,0,1,0.00602698,Cash,0.07477,250,1
New Orleans,Adolphus Bruenn,"New Orleans, LA",LA,New Orleans,Bernard Kendig,"New Orleans, LA",LA,20,F,Kitty,Negro,12/5/1856,1,0,1,0.006202525,Credit,0.07702264,710,1
New Orleans,Caroline Doyal,"New Orleans, LA",LA,New Orleans,Bernard Kendig,"New Orleans, LA",LA,17,F,Emma,Negro,12/7/1856,1,0,1,0.00602698,Cash,0.07477,1400,1
New Orleans,Lewis Neville Shelton,"New Orleans, LA",LA,Jefferson,Edward Gardere,"Jefferson, LA",LA,34,M,Jim Hamilton,Negro,12/4/1856,1,0,1,0.00602698,Cash,0.07477,500,1
New Orleans,Heide Meynier,"New Orleans, LA",LA,New Orleans,Edmond le Blanc,"New Orleans, LA",LA,45,M,Weiner,Negro,12/5/1856,1,0,1,0.00602698,Cash,0.07477,300,1
New Orleans,Isaac P. Abrams,"New Orleans, LA",LA,New Orleans,James Penn Shortridge,"New Orleans, LA",LA,22,M,Gideon,Negro,12/5/1856,1,0,1,0.005790818,Cash and Credit,0.07174632,1300,1
Jefferson,Francois Pierre Volant la Barre,"Jefferson, LA",LA,New Orleans,Bernard Kendig,"New Orleans, LA",LA,21,M,Isaac,Negro,12/5/1856,1,0,1,0.006202525,Credit,0.07702264,1250,1
New Orleans,Samuel Friedlander,"New Orleans, LA",LA,New Orleans,"John G., Georgianna Harris, Quincy","New Orleans, LA",LA,14,F,Mary,Mulatto,12/8/1856,1,0,1,0.00602698,Cash,0.07477,800,1
New Orleans,N. S. Torrey & Co. Unknown,"New Orleans, LA",LA,Nashville,George Washington Hitchings,"Nashville, TN",TN,23,M,Newton,Mulatto,12/8/1856,1,0,1,0.00602698,Cash,0.07477,1000,1
New Orleans,George W. Parmy,"New Orleans, LA",LA,New Orleans,Samuel G. Wilson,"New Orleans, LA",LA,47,M,Henry,Griff,12/5/1856,1,0,1,0.00602698,Cash,0.07477,300,1
New Orleans,Eugene Petitpain,"New Orleans, LA",LA,St. Landry,Alceshe Roy,"St. Landry, LA",LA,24,M,Pressely,Negro,12/9/1856,1,0,1,0.005790818,Cash and Credit,0.07174632,745,1
New Orleans,John B. Womack,"New Orleans, LA",LA,New Orleans,Domingo Fatjo,"New Orleans, LA",LA,18,F,Marie Louise,Mulatto,12/10/1856,1,0,1,0.00602698,Cash,0.07477,800,1
New Orleans,Alfred Blanc,"New Orleans, LA",LA,New Orleans,Felix Ducayet,"New Orleans, LA",LA,24,F,Elizabeth,Negro,12/10/1856,1,0,1,0.00602698,Cash,0.07477,1000,1
New Orleans,Antoine Hernandez,"New Orleans, LA",LA,New Orleans,Enrique Ainz,"New Orleans, LA",LA,20,F,Pauline,Negro,12/6/1856,1,0,1,0.00602698,Cash,0.07477,1250,1
New Orleans,H. A. & G. W. Lee Unknown,"New Orleans, LA",LA,New Orleans,John A. Haggerty,"New Orleans, LA",LA,35,F,Lucinda,Negro,12/11/1856,1,0,1,0.00602698,Cash,0.07477,800,1
New Orleans,John H. Follett,"New Orleans, LA",LA,New Orleans,Helen Harrison,"New Orleans, LA",LA,13,F,Esther,Negro,12/6/1856,1,0,1,0.00602698,Cash,0.07477,900,1
Jefferson,"Gustave, Francois Pierre Volant le Roy, la Barre","Jefferson, LA",LA,Richmond,Jeremiah Smith,"Richmond, VA",VA,20,M,Humphry,Negro,12/8/1856,2,0,2,0.00602698,Cash,0.07477,1450,2
New Orleans,Lionel C. Levy,"New Orleans, LA",LA,New Orleans,Bernard Kendig,"New Orleans, LA",LA,23,F,Lavinia,Negro,12/11/1856,1,0,1,0.00602698,Cash,0.07477,1050,1
New Orleans,Lewis Neville Shelton,"New Orleans, LA",LA,Abbeville,George Ambrose Christopher,"Abbeville, SC",SC,20,F,Adeline,Griff,12/12/1856,2,0,2,0.00602698,Cash,0.07477,2000,1
New Orleans,Marie Agathe Abat,"New Orleans, LA",LA,New Orleans,Josephine Martin,"New Orleans, LA",LA,32,F,Marcelite,Negro,12/8/1856,1,0,1,0.006202525,Credit,0.07702264,900,1
New Orleans,Octave Hopkins,"New Orleans, LA",LA,New Orleans,Marie Eugenie Mathey,"New Orleans, LA",LA,21,F,Clemence/ Chouchoutto,Negro,12/1/1856,1,1,2,0.00602698,Cash,0.07477,1000,1
New Orleans,James Chapman,"New Orleans, LA",LA,New Orleans,William Adams,"New Orleans, LA",LA,45,F,Charlotte/ Milly,Negro,12/11/1856,1,0,1,0.00602698,Cash,0.07477,100,1
Carroll,Thomas Evans,"Carroll, LA",LA,Montgomery,John F. Johnson,"Montgomery, AL",AL,23,M,Allen,Negro,12/12/1856,3,1,4,0.00602698,Cash,0.07477,1350,3
New Orleans,Frederic Dellondio,"New Orleans, LA",LA,New Orleans,Francis Joseph Levis,"New Orleans, LA",LA,45,F,Adelaide,Griff,12/12/1856,3,0,3,0.00602698,Cash,0.07477,1500,1
New Orleans,John Jackson,"New Orleans, LA",LA,New Orleans,John Myers,"New Orleans, LA",LA,26,F,Elizabeth,Griff,12/10/1856,1,0,1,0.00602698,Cash,0.07477,1200,1
New Orleans,Joseph Sequi y Gahona,"New Orleans, LA",LA,New Orleans,Wiley J Martin,"New Orleans, LA",LA,14,M,Joseph,Mulatto,12/13/1856,1,0,1,0.00602698,Cash,0.07477,1050,1
Catahoula,Lewis Baker Ker,"Catahoula, LA",LA,Henry,Barton William Jenkins,"Henry, KY",KY,17,M,Willis,Negro,12/13/1856,2,1,3,0.00602698,Cash,0.07477,1300,2
New Orleans,Nancy Van Ostern,"New Orleans, LA",LA,New Orleans,Leonard Matthews,"New Orleans, LA",LA,40,M,Ben,Negro,12/15/1856,1,0,1,0.00602698,Cash,0.07477,500,1
New Orleans,Alfred Shaw,"New Orleans, LA",LA,Unknown,John Ruckner White,"Unknown, MO",MO,21,M,Amos Geary,Negro,12/15/1856,1,0,1,0.005746766,Credit,0.07118316,1300,1
New Orleans,Francis Moreno,"New Orleans, LA",LA,New Orleans,Gaile Desmare,"New Orleans, LA",LA,15,M,Honore,Negro,12/12/1856,1,0,1,0.00602698,Cash,0.07477,700,1
New Orleans,Dominique Bouligny,"New Orleans, LA",LA,New Orleans,Samuel Bell,"New Orleans, LA",LA,24,F,Leah,Negro,12/11/1856,1,0,1,0.00602698,Cash,0.07477,1275,1
New Orleans,Robert Pitkin,"New Orleans, LA",LA,Jefferson,David Resolve Godwin,"Jefferson, LA",LA,41,M,Robert/ Bob,Griff,12/8/1856,1,0,1,0.005776137,Cash and Credit,0.0715586,500,1
New Orleans,Augustus Block,"New Orleans, LA",LA,New Orleans,Mary Ann Smucker,"New Orleans, LA",LA,38,F,Betty,Griff,12/13/1856,1,7,8,0.00583485,Cash and Credit,0.07230948,5500,1
Jackson,Henry H. Carter,"Jackson, LA",LA,Montgomery,John G. Johnson,"Montgomery, AL",AL,21,M,Nat,Negro,12/12/1856,1,0,1,0.00602698,Cash,0.07477,1275,1
Jackson,Henry H. Carter,"Jackson, LA",LA,Montgomery,John G. Johnson,"Montgomery, AL",AL,20,F,Mary,Negro,12/12/1856,1,0,1,0.00602698,Cash,0.07477,1075,1
New Orleans,Andrew & Lierau Unknown,"New Orleans, LA",LA,New Orleans,John Jackson,"New Orleans, LA",LA,26,F,Elizabeth,Griff,12/15/1856,1,0,1,0.00602698,Cash,0.07477,1200,1
New Orleans,Jose Martinez,"New Orleans, LA",LA,New Orleans,Mary Regan,"New Orleans, LA",LA,15,M,John,Negro,12/15/1856,1,0,1,0.00602698,Cash,0.07477,860,1
New Orleans,Elizabeth Leticia Robinson,"New Orleans, LA",LA,New Orleans,Pierre Amedee de Buys,"New Orleans, LA",LA,37,F,Jane,Griff,12/16/1856,1,0,1,0.00602698,Cash,0.07477,650,1
New Orleans,Lewis Neville Shelton,"New Orleans, LA",LA,Grand Gulf,Robert C. Hume,"Grand Gulf, MS",MS,26,M,Puis,Dark Griff,12/10/1856,1,0,1,0.00602698,Cash,0.07477,1200,1
New Orleans,Mary Anna Parent,"New Orleans, LA",LA,New Orleans,Jacques Calonjat,"New Orleans, LA",LA,41,F,Henriette,Negro,12/17/1856,1,2,3,0.00583485,Cash and Credit,0.07230948,1250,1
New Orleans,Betty Whitehead Cunningham,"New Orleans, LA",LA,New Orleans,John J. Green,"New Orleans, LA",LA,17,F,Anna,Griff,12/15/1856,1,0,1,0.00602698,Cash,0.07477,1250,1
New Orleans,William Henry Crafts,"New Orleans, LA",LA,New Orleans,Celeste Dapremont,"New Orleans, LA",LA,13,F,Oneida,Griff,12/17/1856,1,0,1,0.00602698,Cash,0.07477,600,1
New Orleans,John Trabue Hatcher,"New Orleans, LA",LA,New Orleans,Pablo Gelpi,"New Orleans, LA",LA,11,F,Dinah,Negro,12/17/1856,1,0,1,0.00602698,Cash,0.07477,675,1
New Orleans,Lewis Neville Shelton,"New Orleans, LA",LA,St. Tammany,Samuel P. Russ,"St. Tammany, LA",LA,38,F,Minerva,Light Black,12/19/1856,1,0,1,0.00602698,Cash,0.07477,400,1
West Baton Rouge,James Richard Duvall,"West Baton Rouge, LA",LA,Richmond,Jeremiah Smith,"Richmond, VA",VA,24,M,Hiram,Griff,12/19/1856,2,0,2,0.00587886,Credit,0.07287264,1450,2
New Orleans,Warren Shelton,"New Orleans, LA",LA,New Orleans,Daniel Pierre Pautz,"New Orleans, LA",LA,30,M,Edmond,Negro,12/12/1856,7,0,7,0.006901355,Credit,0.0860332,11000,1
Unknown,Josephine Magagnos,"Unknown, Unknown",Unknown,New Orleans,Theodore Johnston,"New Orleans, LA",LA,15,F,Clarissa,Negro,12/18/1856,1,0,1,0.00602698,Cash,0.07477,1050,1
New Orleans,Eliza Huntington,"New Orleans, LA",LA,Polk,Geph P. Ross,"Polk, TX",TX,20,M,Carlos,Negro,12/20/1856,1,0,1,0.00602698,Cash,0.07477,1150,1
Ascension,Louisa Doyal,"Ascension, LA",LA,New Orleans,Jane McNair Baldwin,"New Orleans, LA",LA,23,M,Thomas Jefferson,Mulatto,12/20/1856,1,0,1,0.00602698,Cash,0.07477,1200,1
New Orleans,Henry Hicke Crocker,"New Orleans, LA",LA,New Orleans,Cromwell & Taylor Unknown,"New Orleans, LA",LA,26,F,Sarah,Negro,12/10/1856,1,0,1,0.00583485,Cash and Credit,0.07230948,800,1
New Orleans,Lewis Neville Shelton,"New Orleans, LA",LA,Pensacola,Ezekiel E. Simpson,"Pensacola, FL",FL,29,F,Barney,Negro,12/22/1856,1,0,1,0.00602698,Cash,0.07477,710,1
New Orleans,Joseph Francois Avet,"New Orleans, LA",LA,New Orleans,Claude Frederick Avet,"New Orleans, LA",LA,24,M,Anthony,Negro,12/22/1856,3,0,3,0.00602698,Cash,0.07477,0,1
New Orleans,Joseph Francois Avet,"New Orleans, LA",LA,New Orleans,"Claude Frederick, Caroline Isabella Haifleigh Avet","New Orleans, LA",LA,25,F,Pauline,Griff,12/22/1856,1,0,1,0.00602698,Cash,0.07477,775,1
New Orleans,Joseph Francois Avet,"New Orleans, LA",LA,New Orleans,Claude Frederick Avet,"New Orleans, LA",LA,26,F,Caroline,Negro,12/22/1856,1,0,1,0.00602698,Cash,0.07477,800,1
New Orleans,Joseph Francois Avet,"New Orleans, LA",LA,New Orleans,Claude Frederick Avet,"New Orleans, LA",LA,16,F,Maria,Negro,12/22/1856,1,0,1,0.00602698,Cash,0.07477,950,1
New Orleans,Joseph Francois Avet,"New Orleans, LA",LA,New Orleans,Claude Frederick Avet,"New Orleans, LA",LA,26,M,Captain,Negro,12/22/1856,1,0,1,0.00602698,Cash,0.07477,1050,1
