OrderNumber,Sales Channel,ProcuredDate,OrderDate,ShipDate,DeliveryDate,SalesTeamID,CustomerID,StoreID,ProductID,Order_Quantity,Discount_Applied,Unit_Price,Unit_Cost,Customer_Names,City_Name,County,State,Type,Latitude,Longitude,AreaCode,Population,Household_Income,Median_Income,Land_Area,Water_Area,Time_Zone,Product_Name,Sales_Team,Region,Procured_Year,Order_Year,Order_Month,Month,Order_Month_Name,Supply Duration,Sales
SO - 0005001,In-Store,2019-08-23,2020-01-05,2020-01-16,2020-01-20,6,45,304,35,2,0.2,1969.8,984.9,Nipro ,Memphis,Shelby County,Tennessee,City,35.14953,-90.04898,901,655770,249775,36445,822013083,23171205,America/Chicago,Table Linens,Joshua Bennett,Northeast,2019,2020,1,August,January,15,3939.6
SO - 000776,In-Store,2018-04-10,2018-08-17,2018-08-25,2018-09-03,6,19,208,35,8,0.3,1909.5,1069.3200000000002,Qualitest ,Lowell,Middlesex County,Massachusetts,City,42.63342,-71.31617,351,110699,38489,48002,35187375,2442614,America/New York,Table Linens,Joshua Bennett,Northeast,2018,2018,8,April,August,17,15276.0
SO - 0005359,In-Store,2019-12-01,2020-02-15,2020-03-02,2020-03-07,6,50,162,35,1,0.05,1762.1000000000001,1427.3010000000002,Sundial ,Lisle (Township),DuPage County,Illinois,Township,41.77193,-88.09209,630,119818,45377,86610,91532435,1583080,America/Chicago,Table Linens,Joshua Bennett,Northeast,2019,2020,2,December,February,21,1762.1000000000001
SO - 0002559,In-Store,2018-10-27,2019-03-15,2019-03-17,2019-03-25,6,17,295,26,2,0.4,227.8,170.85000000000002,Pure Group,Pittsburgh,Allegheny County,Pennsylvania,City,40.44062,-79.99589,412,304391,132468,40715,143423857,7692318,America/New York,Candles,Joshua Bennett,Northeast,2018,2019,3,October,March,10,455.6
SO - 0005393,In-Store,2019-12-01,2020-02-19,2020-03-05,2020-03-14,6,48,88,26,8,0.1,951.4,732.578,"Fenwal, Corp",Vista,San Diego County,California,City,33.20004,-117.24254,760,100890,30451,50601,48380231,0,America/Los Angeles,Candles,Joshua Bennett,Northeast,2019,2020,2,December,February,24,7611.2
SO - 0001039,In-Store,2018-04-10,2018-09-17,2018-09-30,2018-10-06,6,39,88,26,4,0.05,3396.9,2140.047,Victory Ltd,Vista,San Diego County,California,City,33.20004,-117.24254,760,100890,30451,50601,48380231,0,America/Los Angeles,Candles,Joshua Bennett,Northeast,2018,2018,9,April,September,19,13587.6
SO - 0002916,In-Store,2019-02-04,2019-04-27,2019-05-21,2019-05-24,6,15,164,26,2,0.4,3865.9,1662.337,Rochester Ltd,Maine,Cook County,Illinois,Township,42.03353,-87.86441,847,136667,50680,65608,67114018,640546,America/Chicago,Candles,Joshua Bennett,Northeast,2019,2019,4,February,April,27,7731.8
SO - 0004806,In-Store,2019-08-23,2019-12-12,2019-12-14,2019-12-23,6,29,33,26,7,0.4,3986.5,1674.33,"Apotheca, Ltd",Escondido,San Diego County,California,City,33.11921,-117.08642,760,151451,45041,50899,96015101,455887,America/Los Angeles,Candles,Joshua Bennett,Northeast,2019,2019,12,August,December,11,27905.5
SO - 0006282,In-Store,2020-03-10,2020-06-01,2020-06-27,2020-07-03,6,30,26,26,8,0.075,3959.7000000000003,2336.223,S.S.S. Group,Costa Mesa,Orange County,California,City,33.64113,-117.91867,949,113204,40908,66459,40723584,211253,America/Los Angeles,Candles,Joshua Bennett,Northeast,2020,2020,6,March,June,32,31677.600000000002
SO - 000326,In-Store,2017-12-31,2018-06-27,2018-07-12,2018-07-22,6,22,70,26,1,0.075,1212.7,945.9060000000001,Capweld ,San Diego,San Diego County,California,City,32.71533,-117.15726,619,1394928,485091,66116,842252395,122244773,America/Los Angeles,Candles,Joshua Bennett,Northeast,2017,2018,6,December,June,25,1212.7
SO - 0002600,In-Store,2019-02-04,2019-03-21,2019-04-03,2019-04-08,6,28,221,26,5,0.075,2653.2000000000003,1326.6000000000001,Dharma Ltd,St. Paul,Ramsey County,Minnesota,City,44.94441,-93.09327,651,300851,112988,48757,134612878,10884750,America/Chicago,Candles,Joshua Bennett,Northeast,2019,2019,3,February,March,18,13266.000000000002
SO - 0003375,In-Store,2019-05-15,2019-06-18,2019-06-25,2019-07-04,6,41,84,2,6,0.05,1822.4,911.2,Weimei Corp,Torrance,Los Angeles County,California,City,33.83585,-118.34063,424,148475,55377,79549,53038407,194217,America/Los Angeles,Photo Frames,Joshua Bennett,Northeast,2019,2019,6,May,June,16,10934.400000000001
SO - 0006710,In-Store,2020-03-10,2020-07-21,2020-08-04,2020-08-08,6,3,362,2,5,0.05,2405.3,986.173,"Elorac, Corp",Spokane,Spokane County,Washington,City,47.65878,-117.42605,509,213272,87623,42386,178034003,1984449,America/Los Angeles,Photo Frames,Joshua Bennett,Northeast,2020,2020,7,March,July,18,12026.5
SO - 0005122,In-Store,2019-12-01,2020-01-16,2020-01-21,2020-01-30,6,12,168,2,1,0.15,2525.9,1869.166,Medline ,Niles (Township),Cook County,Illinois,Township,42.03209,-87.75778,847,106229,37478,69857,55058020,0,America/Chicago,Photo Frames,Joshua Bennett,Northeast,2019,2020,1,December,January,14,2525.9
SO - 0005791,In-Store,2019-12-01,2020-04-05,2020-04-24,2020-04-26,6,12,315,2,4,0.05,3162.4,1865.816,Medline ,Corpus Christi,Aransas County/Kleberg County/Nueces County/San Patricio County,Texas,City,27.75425,-97.17339,361,324074,114817,50658,452109961,852118618,America/Chicago,Photo Frames,Joshua Bennett,Northeast,2019,2020,4,December,April,21,12649.6
SO - 0003716,In-Store,2019-05-15,2019-07-31,2019-08-10,2019-08-11,6,35,149,2,4,0.05,5728.5,3437.1,Amylin Group,Des Moines,Warren County/Polk County,Iowa,City,41.57259,-93.61024,515,210330,81717,46290,230329944,4657227,America/Chicago,Photo Frames,Joshua Bennett,Northeast,2019,2019,7,May,July,11,22914.0
SO - 0005838,In-Store,2019-12-01,2020-04-10,2020-04-28,2020-04-29,6,2,313,45,4,0.1,3859.2000000000003,2817.2160000000003,WakeFern ,Carrollton,Collin County/Denton County/Dallas County,Texas,City,32.98836,-96.89977,972,133168,45263,69368,93959417,2048329,America/Chicago,Home Fragrances,Joshua Bennett,Northeast,2019,2020,4,December,April,19,15436.800000000001
SO - 0005722,In-Store,2019-12-01,2020-03-29,2020-04-07,2020-04-13,6,13,346,45,6,0.1,1038.5,498.47999999999996,Ole Group,Salt Lake City,Salt Lake County,Utah,City,40.76078,-111.89105,385,192672,75330,47243,288044514,1216737,America/Denver,Home Fragrances,Joshua Bennett,Northeast,2019,2020,3,December,March,15,6231.0
SO - 0006843,In-Store,2020-03-10,2020-08-06,2020-08-14,2020-08-17,6,32,274,18,3,0.1,3932.9,2084.4370000000004,OHTA'S Corp,Staten Island,Richmond County,New York,Borough,40.57628,-74.14484,718,474558,156341,55039,152000000,110000000,America/New York,Basketball,Joshua Bennett,Northeast,2020,2020,8,March,August,11,11798.7
SO - 0005024,In-Store,2019-08-23,2020-01-07,2020-02-02,2020-02-05,6,24,257,18,7,0.1,951.4,675.4939999999999,Burt's Corp,Sunrise Manor,Clark County,Nevada,CDP,36.21108,-115.07306,702,187647,60366,39586,86444651,0,America/Los Angeles,Basketball,Joshua Bennett,Northeast,2019,2020,1,August,January,29,6659.8
SO - 0004305,In-Store,2019-05-15,2019-10-12,2019-11-02,2019-11-12,6,2,83,47,2,0.1,221.1,112.761,WakeFern ,Thousand Oaks,Ventura County,California,City,34.17056,-118.8375,805,129339,45912,100946,142919822,387875,America/Los Angeles,Audio,Joshua Bennett,Northeast,2019,2019,10,May,October,31,442.2
SO - 0005209,In-Store,2019-08-23,2020-01-27,2020-02-06,2020-02-14,6,11,241,47,5,0.075,221.1,163.614,Apollo Ltd,Manchester,Hillsborough County,New Hampshire,City,42.99564,-71.45479,603,110229,45145,54282,85627013,4850146,America/New York,Audio,Joshua Bennett,Northeast,2019,2020,1,August,January,18,1105.5
SO - 0006187,In-Store,2020-03-10,2020-05-23,2020-06-03,2020-06-06,6,42,207,47,7,0.05,3939.6,2206.1760000000004,Llorens Ltd,Cambridge,Middlesex County,Massachusetts,City,42.3751,-71.10561,857,110402,43801,79416,16556713,1861901,America/New York,Audio,Joshua Bennett,Northeast,2020,2020,5,March,May,14,27577.2
SO - 0001552,In-Store,2018-07-19,2018-11-20,2018-12-06,2018-12-07,6,25,334,47,3,0.075,268.0,195.64,Prasco Group,Pasadena,Harris County,Texas,City,29.69106,-95.2091,832,153784,49256,48004,112645407,3870729,America/Chicago,Audio,Joshua Bennett,Northeast,2018,2018,11,July,November,17,804.0
SO - 0004754,In-Store,2019-08-23,2019-12-05,2019-12-23,2020-01-01,6,33,12,47,7,0.075,6304.7,5106.807,Trigen ,Scottsdale,Maricopa County,Arizona,City,33.50921,-111.89903,480,236839,102424,73288,476410748,1220280,America/Phoenix,Audio,Joshua Bennett,Northeast,2019,2019,12,August,December,27,44132.9
SO - 0005035,In-Store,2019-08-23,2020-01-08,2020-01-15,2020-01-21,6,47,259,1,3,0.15,1755.4,1298.996,Niconovum Corp,Babylon (Town),Suffolk County,New York,Town,40.64092,-73.31669,631,213776,68789,80327,135481314,160302131,America/New York,Cookware,Joshua Bennett,Northeast,2019,2020,1,August,January,13,5266.200000000001
SO - 000270,In-Store,2018-04-10,2018-06-19,2018-07-07,2018-07-14,6,27,318,1,4,0.05,247.9,195.841,Wuxi Group,El Paso,El Paso County,Texas,City,31.75872,-106.48693,915,681124,220682,42772,665041415,2247591,America/Denver,Cookware,Joshua Bennett,Northeast,2018,2018,6,April,June,25,991.6
SO - 0007455,In-Store,2020-06-18,2020-10-18,2020-10-27,2020-11-03,6,45,325,1,1,0.2,1045.2,449.43600000000004,Nipro ,Killeen,Bell County,Texas,City,31.11712,-97.7278,254,140806,46952,47763,138670219,1727829,America/Chicago,Cookware,Joshua Bennett,Northeast,2020,2020,10,June,October,16,1045.2
SO - 0006033,In-Store,2020-03-10,2020-05-04,2020-05-18,2020-05-28,6,36,126,1,4,0.2,871.0,426.79,O.E. Ltd,Miami,Miami-Dade County,Florida,City,25.77427,-80.19366,305,441003,157347,31051,93204587,51995800,America/New York,Cookware,Joshua Bennett,Northeast,2020,2020,5,March,May,24,3484.0
SO - 0003703,In-Store,2019-05-15,2019-07-29,2019-08-17,2019-08-20,6,44,107,1,5,0.075,247.9,168.572,Winthrop ,New Haven,New Haven County,Connecticut,City,41.30815,-72.92816,203,130322,49771,37192,48407373,3739487,America/New York,Cookware,Joshua Bennett,Northeast,2019,2019,7,May,July,22,1239.5
SO - 0001244,In-Store,2018-07-19,2018-10-15,2018-10-17,2018-10-18,6,6,301,1,2,0.05,924.6,591.744,"PEDIFIX, Corp",Chattanooga,Hamilton County,Tennessee,City,35.04563,-85.30968,423,176588,70228,40177,370573763,19930234,America/New York,Cookware,Joshua Bennett,Northeast,2018,2018,10,July,October,3,1849.2
SO - 0001326,In-Store,2018-07-19,2018-10-25,2018-10-29,2018-11-04,6,3,5,1,8,0.05,201.0,152.76,"Elorac, Corp",Little Rock,Pulaski County,Arkansas,City,34.74648,-92.28959,501,197992,79902,46085,307398785,6758644,America/Chicago,Cookware,Joshua Bennett,Northeast,2018,2018,10,July,October,10,1608.0
SO - 0002360,In-Store,2018-10-27,2019-02-17,2019-02-26,2019-02-27,6,17,120,1,2,0.05,1118.9,906.3090000000001,Pure Group,Gainesville,Alachua County,Florida,City,29.65163,-82.32483,352,130128,47968,31818,161411152,3017660,America/New York,Cookware,Joshua Bennett,Northeast,2018,2019,2,October,February,10,2237.8
SO - 0001114,In-Store,2018-04-10,2018-09-26,2018-10-18,2018-10-24,6,34,298,34,5,0.075,221.1,108.339,OUR Ltd,Columbia,Lexington County/Richland County,South Carolina,City,34.0291,-80.89804,803,133803,44506,41260,345805347,6998722,America/New York,Bedroom Furniture,Joshua Bennett,Northeast,2018,2018,9,April,September,28,1105.5
SO - 0004156,In-Store,2019-05-15,2019-09-23,2019-10-10,2019-10-17,6,9,243,34,7,0.1,2680.0,2144.0,Ei ,Elizabeth,Union County,New Jersey,City,40.66399,-74.2107,908,129007,39433,43568,31905474,3459587,America/New York,Bedroom Furniture,Joshua Bennett,Northeast,2019,2019,9,May,September,24,18760.0
SO - 0004801,In-Store,2019-08-23,2019-12-12,2019-12-17,2019-12-21,6,9,231,34,4,0.075,241.20000000000002,106.12800000000001,Ei ,Durham,Durham County/Orange County/Wake County,North Carolina,City,35.98115,-78.90293,919,257636,100513,50420,284339132,2323182,America/New York,Bedroom Furniture,Joshua Bennett,Northeast,2019,2019,12,August,December,9,964.8000000000001
SO - 0003572,In-Store,2019-05-15,2019-07-14,2019-07-26,2019-08-05,6,33,212,20,5,0.2,180.9,79.596,Trigen ,Columbia,Howard County,Maryland,CDP,39.24038,-76.83942,410,102116,39893,100849,82691135,667179,America/New York,Bar Tools,Joshua Bennett,Northeast,2019,2019,7,May,July,22,904.5
SO - 0003503,In-Store,2019-02-04,2019-07-04,2019-07-29,2019-08-03,6,21,74,20,7,0.1,1246.2,984.498,Ohio ,Santa Ana,Orange County,California,City,33.74557,-117.86783,949,335400,74757,52253,70306781,638460,America/Los Angeles,Bar Tools,Joshua Bennett,Northeast,2019,2019,7,February,July,30,8723.4
SO - 0001256,In-Store,2018-07-19,2018-10-16,2018-10-19,2018-10-24,6,4,91,20,3,0.075,241.20000000000002,185.72400000000002,ETUDE Ltd,Aurora,Adams County/Douglas County/Arapahoe County,Colorado,City,39.688,-104.68974,303,359407,124031,53011,397624166,1731418,America/Denver,Bar Tools,Joshua Bennett,Northeast,2018,2018,10,July,October,8,723.6
SO - 0001024,In-Store,2018-07-19,2018-09-15,2018-09-17,2018-09-21,6,40,19,20,6,0.075,3530.9,2577.557,Select ,Berkeley,Alameda County,California,City,37.87159,-122.27275,510,120972,45917,66237,27106077,18715614,America/Los Angeles,Bar Tools,Joshua Bennett,Northeast,2018,2018,9,July,September,6,21185.4
SO - 0003956,In-Store,2019-05-15,2019-08-28,2019-09-06,2019-09-10,6,26,167,20,6,0.05,221.1,137.082,Mylan Corp,Naperville (Township),DuPage County,Illinois,Township,41.76635,-88.2009,630,102708,37133,88282,90385339,2423679,America/Chicago,Bar Tools,Joshua Bennett,Northeast,2019,2019,8,May,August,13,1326.6
SO - 0003210,In-Store,2019-02-04,2019-05-29,2019-05-31,2019-06-05,6,20,331,39,7,0.1,1085.4,640.386,Pacific Ltd,Mesquite,Kaufman County/Dallas County,Texas,City,32.76288,-96.58877,972,144788,47795,49604,122320600,479994,America/Chicago,Floor Lamps,Joshua Bennett,Northeast,2019,2019,5,February,May,7,7597.800000000001
SO - 0007164,In-Store,2020-06-18,2020-09-15,2020-10-12,2020-10-22,6,2,9,39,8,0.05,2311.5,1386.8999999999999,WakeFern ,Mesa,Maricopa County,Arizona,City,33.42227,-111.82264,480,471825,168914,48809,357097953,1950781,America/Phoenix,Floor Lamps,Joshua Bennett,Northeast,2020,2020,9,June,September,37,18492.0
SO - 0006460,In-Store,2020-03-10,2020-06-23,2020-06-25,2020-07-03,6,43,174,39,2,0.1,1058.6000000000001,889.224,"Exact-Rx, Corp",Rockford (Township),Winnebago County,Illinois,Township,42.24868,-89.07452,815,173110,69780,40391,287475255,4720906,America/Chicago,Floor Lamps,Joshua Bennett,Northeast,2020,2020,6,March,June,10,2117.2000000000003
SO - 0004054,In-Store,2019-05-15,2019-09-10,2019-10-02,2019-10-07,6,43,25,39,2,0.05,1085.4,738.0720000000001,"Exact-Rx, Corp",Corona,Riverside County,California,City,33.87529,-117.56644,951,164226,48156,74149,102233537,211897,America/Los Angeles,Floor Lamps,Joshua Bennett,Northeast,2019,2019,9,May,September,27,2170.8
SO - 0004839,In-Store,2019-08-23,2019-12-16,2020-01-08,2020-01-16,6,10,102,39,5,0.15,871.0,740.35,21st Ltd,Westminster,Jefferson County/Adams County,Colorado,City,39.88219,-105.06443,303,113130,42239,67081,82177513,6010635,America/Denver,Floor Lamps,Joshua Bennett,Northeast,2019,2019,12,August,December,31,4355.0
SO - 0006409,In-Store,2020-03-10,2020-06-17,2020-07-03,2020-07-12,6,41,259,16,5,0.075,3544.3,2020.251,Weimei Corp,Babylon (Town),Suffolk County,New York,Town,40.64092,-73.31669,631,213776,68789,80327,135481314,160302131,America/New York,Stemware,Joshua Bennett,Northeast,2020,2020,6,March,June,25,17721.5
SO - 0003507,In-Store,2019-05-15,2019-07-05,2019-07-21,2019-07-22,6,16,329,16,3,0.2,1112.2,556.1,"3LAB, Ltd",McAllen,Hidalgo County,Texas,City,26.20341,-98.23001,956,140269,42225,44254,151143159,1038050,America/Chicago,Stemware,Joshua Bennett,Northeast,2019,2019,7,May,July,17,3336.6000000000004
SO - 0007561,In-Store,2020-06-18,2020-10-30,2020-11-04,2020-11-05,6,22,359,16,7,0.05,2626.4,1680.8960000000002,Capweld ,Kent,King County,Washington,City,47.38093,-122.23484,253,126952,42233,60191,87393046,1737187,America/Los Angeles,Stemware,Joshua Bennett,Northeast,2020,2020,10,June,October,6,18384.8
SO - 0001122,In-Store,2018-07-19,2018-09-27,2018-10-21,2018-10-29,6,6,332,16,2,0.075,1829.1000000000001,1188.9150000000002,"PEDIFIX, Corp",Midland,Martin County/Midland County,Texas,City,32.02464,-102.11347,432,132950,43214,69173,192622240,460027,America/Chicago,Stemware,Joshua Bennett,Northeast,2018,2018,9,July,September,32,3658.2000000000003
SO - 0005206,In-Store,2019-12-01,2020-01-27,2020-02-17,2020-02-20,6,43,42,16,5,0.075,5038.400000000001,2418.4320000000002,"Exact-Rx, Corp",Huntington Beach,Orange County,California,City,33.6603,-117.99923,657,201899,74460,83252,69762694,13438927,America/Los Angeles,Stemware,Joshua Bennett,Northeast,2019,2020,1,December,January,24,25192.000000000004
SO - 0002997,In-Store,2019-02-04,2019-05-05,2019-05-28,2019-05-30,6,44,262,16,4,0.4,1956.4,1604.248,Winthrop ,Buffalo,Erie County,New York,City,42.88645,-78.87837,716,258071,110549,31918,104592941,31362925,America/New York,Stemware,Joshua Bennett,Northeast,2019,2019,5,February,May,25,7825.6
SO - 0003664,In-Store,2019-05-15,2019-07-24,2019-08-09,2019-08-11,6,3,235,16,1,0.2,247.9,138.824,"Elorac, Corp",Raleigh,Durham County/Wake County,North Carolina,City,35.8306,-78.64177,919,451066,170366,55398,375740493,2876470,America/New York,Stemware,Joshua Bennett,Northeast,2019,2019,7,May,July,18,247.9
SO - 0007093,In-Store,2020-06-18,2020-09-06,2020-10-03,2020-10-13,6,40,48,21,6,0.075,241.20000000000002,120.60000000000001,Select ,Los Angeles,Los Angeles County,California,City,34.05223,-118.24368,213,3971883,1342761,50205,1214027148,88124562,America/Los Angeles,Floral,Joshua Bennett,Northeast,2020,2020,9,June,September,37,1447.2
SO - 0003591,In-Store,2019-02-04,2019-07-17,2019-08-02,2019-08-07,6,20,347,21,2,0.1,1688.4,911.7360000000001,Pacific Ltd,West Jordan,Salt Lake County,Utah,City,40.60967,-111.9391,385,111946,31742,68442,83717638,0,America/Denver,Floral,Joshua Bennett,Northeast,2019,2019,7,February,July,21,3376.8
SO - 0005991,In-Store,2019-12-01,2020-04-28,2020-05-16,2020-05-19,6,18,120,21,6,0.05,1072.0,428.8,Eminence Corp,Gainesville,Alachua County,Florida,City,29.65163,-82.32483,352,130128,47968,31818,161411152,3017660,America/New York,Floral,Joshua Bennett,Northeast,2019,2020,4,December,April,21,6432.0
SO - 000783,In-Store,2018-04-10,2018-08-17,2018-08-30,2018-09-09,6,13,171,13,5,0.1,3865.9,3092.7200000000003,Ole Group,Peoria City,Peoria County,Illinois,Township,40.74495,-89.60964,309,104291,43267,42041,104884817,5748402,America/Chicago,Bakeware,Joshua Bennett,Northeast,2018,2018,8,April,August,23,19329.5
SO - 0002126,In-Store,2018-10-27,2019-01-20,2019-02-17,2019-02-24,6,46,94,13,8,0.05,1038.5,633.485,U.S. Ltd,Colorado Springs,El Paso County,Colorado,City,38.83388,-104.82136,719,456568,174441,54527,506667557,947196,America/Denver,Bakeware,Joshua Bennett,Northeast,2018,2019,1,October,January,35,8308.0
SO - 0002937,In-Store,2019-02-04,2019-04-29,2019-05-17,2019-05-25,6,33,244,13,5,0.05,850.9,680.72,Trigen ,Jersey City,Hudson County,New Jersey,City,40.72816,-74.07764,551,264290,99058,59537,38318201,16417392,America/New York,Bakeware,Joshua Bennett,Northeast,2019,2019,4,February,April,26,4254.5
SO - 0005758,In-Store,2019-12-01,2020-04-02,2020-04-26,2020-05-01,6,23,183,13,2,0.075,5266.2,4212.96,E. Ltd,Evansville,Vanderburgh County,Indiana,City,37.97476,-87.55585,812,119943,51271,35785,122628548,1274315,America/Chicago,Bakeware,Joshua Bennett,Northeast,2019,2020,4,December,April,29,10532.4
SO - 000949,In-Store,2018-04-10,2018-09-07,2018-09-14,2018-09-15,6,21,186,13,3,0.1,2974.8,2231.1000000000004,Ohio ,Lawrence (Township),Marion County,Indiana,Township,39.8716,-86.01156,317,123397,48011,50411,121424443,4188930,America/Indiana/Indianapolis,Bakeware,Joshua Bennett,Northeast,2018,2018,9,April,September,8,8924.400000000001
