ccode,year,eventid,id,countryname,etype,startdate,enddate,stday,stmo,styr,eday,emo,eyr,duration,actor1,actor1id,actor1coherent,actor2,actor2id,actor2coherent,actor3,actor3id,actor3coherent,target1,target1id,target1coherent,target2,target2id,target2coherent,cgovtarget,rgovtarget,npart,ndeath,repress,elocal,ilocal,sublocal,locnum,gislocnum,issue1,issue2,issue3,issuenote,nsource,acd_questionable,notes,escalation,latitude,longitude,geo_comments,location_precision
41,1990,410057,57,Haiti,4,6/21/90,6/21/90,21,6,1990,21,6,1990,1,Gunmen in army uniform,41.18,0,Other gunmen,41.18,0,,,,Council of State,41.01.105,1,,,,1,0,1,2,0,Port-Au-Prince,Port-Au-Prince,1,1,1,1,,,"Four gunmen, including two in army uniform, sprayed the Council of State with gunfire, leading to two deaths; it was believed this was meant to block the government from holding presidential balloting.",AP,0,,0,19,-72,,
41,1990,410058,58,Haiti,4,7/1/90,7/1/90,1,7,1990,1,7,1990,1,Soldier,41.03,0,,,,,,,Political activist,41.04,0,,,,0,0,1,1,0,Port-Au-Prince,Port-Au-Prince,1,1,1,14,,,A gunman identified as a soldier jumped from a truck and killed a political activist outside a house where the victim was attending a friend's wake.,AP,0,"Cautiously coded as issue type 14, but could be pro-Avril violence",0,19,-72,,
41,1990,410059,59,Haiti,5,7/11/90,7/11/90,11,7,1990,11,7,1990,1,Unit assembly,41.07,0,Workers,41.07,0,,,,Duvalier supporters,41.04.124,0,Government,41.01,0,1,0,5,0,0,Port-Au-Prince; Cap-Haitien and Gonaives,Port-Au-Prince,1,4,4,10,1,,A protest strike over the return from exile of two former officials linked to human rights abuses under dictatorial regimes was held. ,AP,0,,0,19,-73,,
41,1990,410060,60,Haiti,3,8/22/90,8/22/90,22,8,1990,22,8,1990,1,Slum neighborhood committees,41.13,0,,,,,,,Government,41.01,0,,,,1,0,3,0,1,Port-Au-Prince,Port-Au-Prince,1,1,1,2,1,10,"Slum neighborhood committees marched through the slums and some shattered car windows, demanding that President Trouillot resign.",AP,0,Coded as an etype 3 even though no formal organization is listed because article says protest was organized by neighborhood committees,0,19,-72,,
41,1990,410061,61,Haiti,4,8/23/90,8/23/90,23,8,1990,23,8,1990,1,Armed men,41.18,0,,,,,,,Pedestrians,41.15,0,,,,0,0,2,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,1,,,10 men piled out of a vehicle and - brandishing weapons and throwing stones - ordered pedestrians off the streets; this was seen as an attempt to keep people from participating in upcoming elections.,AP,0,,0,19,-72,,
41,1990,410062,62,Haiti,4,12/5/90,12/5/90,5,12,1990,5,12,1990,1,Unknown assailants,41.18,0,,,,,,,Citizens,41.15,0,The Movement to Organize the Country party headquarters,41.04.337,1,0,0,-99,7,0,Port-Au-Prince,Port-Au-Prince,1,1,1,1,,,Seven people were killed and at least 50 wounded by unknown assailants following a campaign rally; the Movement to Organize the Country party headquarters also was broken into by three men and the offices ransacked. ,AP,0,,0,19,-72,,
41,1991,410065,65,Haiti,4,1/27/91,1/27/91,27,1,1991,27,1,1991,1,Slumdwellers,41.15,0,,,,,,,Government,41.01,0,,,,1,0,-99,13,2,Port-Au-Prince,Port-Au-Prince,1,1,1,9,,,Rumors of a plot to free the jailed leader of a Jan. 6 coup attempt provoked street protests; rioters burned a police-fire station; at least 13 protesters killed by soldiers.,AP,0,,0,19,-72,,
41,1991,410066,66,Haiti,4,1/27/91,1/27/91,27,1,1991,27,1,1991,1,Mob,41.18,0,,,,,,,Reputed member of the outlawed Tonton Macoute militia,41.05,0,,,,0,0,-99,4,0,Unknown,Unknown,1,-99,-99,9,,,Four people were killed when a mob burned the home of a reputed member of the outlawed Tonton Macoute militia during a birthday party.,AP,0,,0,19,-72,UNKNOWN,no
41,1991,410067,67,Haiti,4,4/12/91,4/15/91,12,4,1991,15,4,1991,4,Demonstrators,41.15,0,,,,,,,Government,41.01,0,,,,1,0,4,1,2,Port-Au-Prince and Cap-Haitien,Port-Au-Prince,1,4,4,3,2,,"Hundreds marched in front of the National Palace, and thousands of demonstrators angry over high food prices ransacked businesses and warehouses in Cap Haitien.",AP,0,,0,20,-72,,
41,1991,410068,68,Haiti,4,8/13/91,8/13/91,13,8,1991,13,8,1991,1,Prime minister Preval supporters,41.04.102,0,,,,,,,Deputies seeking to oust Prime Minister Preval,41.04,0,,,,1,0,4,0,1,Port-Au-Prince,Port-Au-Prince,1,1,1,11,,,"Riot police fired tear gas at more than 1,000 people protesting deputies seeking to oust Prime Minister Preval and shake up the Cabinet of President Aristide; piles of tires were ignited in the streets.",AP,0,,0,19,-72,,
41,1991,410069,69,Haiti,4,8/13/91,8/13/91,13,8,1991,13,8,1991,1,Vandals,41.11,0,,,,,,,Autonomous Union of Haitian Workers,41.07.550,1,Confederation of Democratic Unity,41.04.315,1,1,0,-99,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,11,,,"Vandals torched and ransacked the headquarters of the Autonomous Union of Haitian Workers and the headquarters of the Confederation of Democratic Unity, which are both led by people calling for the ouster of Prime Minister Preval.",AP,0,,0,19,-72,,
41,1991,410070,70,Haiti,3,9/9/91,9/9/91,9,9,1991,9,9,1991,1,Front of United Militants,41.05.408,1,,,,,,,U.S. Government,-2,1,,,,0,0,2,0,1,Port-Au-Prince,Port-Au-Prince,1,1,1,8,,,About 100 members of the Front of United Militants painted anti-U.S. slogans on the outer wall of the U.S. embassy and lighted a pile of tires in front of the gate after accusing U.S. Ambassador Adams of meddling in Haitian affairs.,AP,0,,0,19,-72,,
41,1991,410071,71,Haiti,2,9/13/91,9/13/91,13,9,1991,13,9,1991,1,Protesters,41.15,0,,,,,,,Government,41.01,0,,,,1,0,4,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,8,,,"More than 1,000 protesters called for the ouster of foreign minister Marie-Denise Jean-Louis because they felt she had not done enough to protect Haitians working in the Dominican Republic.",AP,0,,0,19,-72,,
41,1991,410072,72,Haiti,5,10/21/91,10/21/91,21,10,1991,21,10,1991,1,Citizens,41.15,0,,,,,,,Government,41.01,0,,,,1,0,-99,0,0,Les Cayes,Les Cayes,1,3,3,10,,,A strike in the town of Cayes to protest the army's September 30 coup.,AP,0,,0,18,-74,,
41,1991,410073,73,Haiti,5,10/23/91,10/23/91,23,10,1991,23,10,1991,1,Grass roots organizations,41.15,0,,,,,,,Government,41.01,0,,,,1,0,-99,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,10,,,A general strike was called to protest the September 30 coup.,AP,0,,0,19,-72,,
41,1991,410074,74,Haiti,2,11/1/91,11/1/91,1,11,1991,1,11,1991,1,Dissidents,41.15,0,Priests,41.12,0,,,,Government,41.01,0,,,,1,0,4,0,1,Gonaives,Gonaives,1,2,2,11,,,"Several dissidents, including four priests, were arrested in Gonaives, where more than 5,000 people participated in a pro-Aristide demonstration.",AFP,0,,0,19,-73,,
41,1991,410075,75,Haiti,3,11/6/91,11/6/91,6,11,1991,6,11,1991,1,Mobilization for National Development,41.04.324,1,Secretary of state for social affairs,41.01,0,Other citizens,41.15,0,OAS States,41.14.855,1,,,,0,0,3,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,8,,,About 150 Haitians took part in a demonstration against an international embargo aimed at returning to office Haiti's democratically-elected president; the demonstrators attacked youths who taunted them.,AFP,0,,0,19,-72,,
41,1991,410076,76,Haiti,2,11/6/91,11/6/91,6,11,1991,6,11,1991,1,Youths,41.15,0,,,,,,,Government,41.01,0,,,,1,0,2,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,8,,,About 50 youths protested to show their support for an Organization of American States economic and diplomatic embargo.,AFP,0,,0,19,-72,,
41,1991,410077,77,Haiti,2,11/9/91,11/9/91,9,11,1991,9,11,1991,1,Demonstrators,41.15,0,,,,,,,OAS States,41.14.855,1,Aristide,41.05.100,1,0,0,4,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,8,11,,"2,500 demonstrators massed at the Port-au-Prince airport to protest a trade and diplomatic embargo the OAS put on Haiti.",Both,0,,0,19,-72,,
41,1991,410078,78,Haiti,2,11/9/91,11/9/91,9,11,1991,9,11,1991,1,Slumdwellers,41.15,0,,,,,,,Government,41.01,0,,,,1,0,-99,0,1,Port-Au-Prince,Port-Au-Prince,1,1,1,10,8,,A pro-Aristide march was quickly dispersed by soldiers and police.,AP,0,Coded as Port-Au-Prince because suburb of Poste Marchant population could not be found,0,19,-72,,
41,1991,410079,79,Haiti,2,11/10/91,11/10/91,10,11,1991,10,11,1991,1,Demonstrators,41.15,0,,,,,,,OAS States,41.14.855,1,Aristide,41.05.100,1,0,0,3,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,8,11,,Several hundred protesters demonstrated at the Port-au-Prince airport to protest a trade and diplomatic embargo the OAS put on Haiti.,AP,0,,0,19,-72,,
41,1991,410080,80,Haiti,2,11/10/91,11/12/91,10,11,1991,12,11,1991,3,Demonstrators,41.15,0,,,,,,,Aristide,41.01.100,1,OAS States,41.14.855,1,0,0,4,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,11,8,,"Protests were held as OAS delegates were in a meeting with Haiti's lawmakers; over subsequent days, protests continue.",AP,0,Difficult to determine end date of protest so date was approximated,0,19,-72,,
41,1991,410081,81,Haiti,2,11/12/91,11/12/91,12,11,1991,12,11,1991,1,Students,41.09,0,Journalists,41.06,0,,,,Opponents of Aristide,41.04,0,,,,0,0,2,0,1,Port-Au-Prince,Port-Au-Prince,1,1,1,10,,,Police armed with automatic weapons stormed a university auditorium and arrested about 80 students and several journalists who were protesting the ouster of President Aristide; at least four of the students were beaten.,AP,0,,0,19,-72,,
41,1991,410082,82,Haiti,2,11/14/91,11/14/91,14,11,1991,14,11,1991,1,Demonstrators,41.15,0,,,,,,,OAS States,41.14.855,1,Aristide,41.05.100,1,0,0,4,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,8,11,,Several thousand people demonstrated at the airport to protest the OAS embargo and the possible return of Aristide.,AFP,0,,0,19,-72,,
41,1991,410083,83,Haiti,2,11/15/91,11/15/91,15,11,1991,15,11,1991,1,University students,41.09,0,,,,,,,Government,41.01,0,,,,1,0,-99,0,1,Port-Au-Prince,Port-Au-Prince,1,1,1,10,,,More than 75 students were arrested and injured when police broke up a pro-Aristide demonstration at the State University of Haiti.,AP,0,Exact date of event not specified; middle of month coded as start and end date,0,19,-72,,
41,1991,410084,84,Haiti,2,11/20/91,11/26/91,20,11,1991,26,11,1991,7,Haitian youths,41.15,0,,,,,,,Canadian Government,-20,1,,,,0,0,2,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,13,,,Nineteen Haitian youths occupied the Canadian embassy for 7 days requesting asylum.,AFP,0,End date not specified,0,19,-72,,
41,1991,410085,85,Haiti,1,11/25/91,11/26/91,25,11,1991,26,11,1991,2,Haitian Association of Youths for People Power,41.13.808,1,,,,,,,OAS States,41.14.855,1,,,,0,0,1,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,8,,,Members of the Haitian Association of Youths for People Power staged a hunger strike to protest the OAS embargo.,AFP,0,End date not specified,0,19,-72,,
41,1992,410087,87,Haiti,2,1/11/92,1/11/92,11,1,1992,11,1,1992,1,Demonstrators,41.15,0,,,,,,,Government,41.01,0,,,,1,0,4,0,0,Les Cayes,Les Cayes,1,3,3,10,,,"More than 2,000 people participated in a pro-Aristide demonstration; the protest started at a funeral service for an Aristide supporter reportedly beaten to death by soldiers.",AP,0,,0,18,-74,,
41,1992,410088,88,Haiti,2,1/13/92,1/13/92,13,1,1992,13,1,1992,1,Demonstrators,41.15,0,,,,,,,Government,41.01,0,Aristide,41.11.100,1,1,0,3,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,1,10,,A demonstration calling for elections was held.,AP,0,,0,19,-72,,
41,1992,410091,91,Haiti,4,2/6/92,2/6/92,6,2,1992,6,2,1992,1,Slumdwellers,41.15,0,,,,,,,Government,41.01,0,,,,1,0,-99,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,14,,,Slumdwellers burned a few tires in the street.,AP,0,Coded as an etype 4 because tires were set on fire,0,19,-72,,
41,1992,410092,92,Haiti,2,2/7/92,2/7/92,7,2,1992,7,2,1992,1,Pro-Aristide priests,41.0412.100,0,Other citizens,41.15,0,,,,Government,41.01,0,,,,1,0,2,0,0,St. Martin,St. Martin,1,2,2,10,,,A protest mass celebrated by pro-Aristide priests attracted a crowd of about 100 people.,AP,0,,0,19,-72,,
41,1992,410093,93,Haiti,8,2/12/92,2/12/92,12,2,1992,12,2,1992,1,Gunmen,41.18,0,,,,,,,Legislators,41.01,0,,,,1,0,-99,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,1,,,Legislators Jean Mandenave and Kerset Charles Jean-Phillipe were attacked by gunmen while their vehicle was stopped in traffic.,AP,0,Coded as an etype 8 because the event seems to have been organized and legislators were targeted,0,19,-72,,
41,1992,410095,95,Haiti,8,2/13/92,2/13/92,13,2,1992,13,2,1992,1,Gunmen,41.18,0,,,,,,,Rene Theodore,41.04.334,1,,,,1,0,-99,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,1,,,"Unidentified gunmen fired at the home of Rene Theodore, who would be prime minister under a new government proposed by ousted President Aristide.",AP,0,Coded as an etype 8 because the potential prime minister was targeted,0,19,-72,,
41,1992,410098,98,Haiti,2,4/3/92,4/3/92,3,4,1992,3,4,1992,1,University students,41.09,0,,,,,,,Government,41.01,0,,,,1,0,-99,0,1,Port-Au-Prince,Port-Au-Prince,1,1,1,10,7,,"University students pounded on their desks and shouted slogans, supporting ousted President Aristide and denouncing the interim government; the students also protested a deterioration of educational standards.",AP,0,,0,19,-72,,
41,1992,410099,99,Haiti,3,4/3/92,4/3/92,3,4,1992,3,4,1992,1,National Federation of Haitian Students,41.09.651,1,,,,,,,Government,41.01,0,,,,1,0,-99,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,7,,,Students sprayed graffiti in support of the autonomous administration of the State University of Haiti and against a decline in educational standards.,AP,0,"Coded as a different event from the other April 3 event because this event was organized, while the other student demonstration does not seem to have been organized",0,19,-72,,
41,1992,410101,101,Haiti,4,5/23/92,5/23/92,23,5,1992,23,5,1992,1,Gunmen,41.18,0,,,,,,,Soldiers,41.03,0,,,,1,0,-99,1,0,St. Marc,St. Marc,1,2,2,14,,,Attackers killed a soldier in a shooting.,Both,0,Coded as an etype 4 because degree of organization of attackers is not clear,0,19,-73,,
41,1992,410103,103,Haiti,4,5/28/92,5/28/92,28,5,1992,28,5,1992,1,Crowd of people,41.15,0,,,,,,,Soldier,41.03,0,,,,1,0,2,-88,0,Port-Au-Prince,Port-Au-Prince,1,1,1,14,,,"A crowd stoned a soldier in Port-au-Prince, and more than 20 people were arrested; it is not known if the soldier was killed.",AP,0,,0,19,-72,,
41,1992,410104,104,Haiti,4,5/29/92,5/29/92,29,5,1992,29,5,1992,1,Attackers,41.18,0,,,,,,,Army outpost,41.03,0,,,,1,0,1,0,1,Les Cayes,Les Cayes,1,3,3,10,,,Attackers attacked an army outpost. ,Both,0,,0,18,-74,,
41,1992,410105,105,Haiti,2,6/1/92,6/1/92,1,6,1992,1,6,1992,1,Students all over Port-Au-Prince,41.09,0,,,,,,,Government,41.01,0,,,,1,0,-99,0,1,Port-Au-Prince,Port-Au-Prince,1,1,1,10,,,High school and university students throughout Port-Au-Prince protested against the government; police arrested four students and a reporter.,AP,0,End date of demonstration not specified,0,19,-72,,
41,1992,410106,106,Haiti,1,6/1/92,6/1/92,1,6,1992,1,6,1992,1,Quixote Center human rights activists,41.1314.819,1,,,,,,,President Bush,-2,1,,,,0,0,1,0,1,Port-Au-Prince,Port-Au-Prince,1,1,1,8,,,"Human rights activists, carrying placards accusing President Bush of racism and prejudice, tried to block the gangway of a Coast Guard cutter as it unloaded Haitians.",AP,0,,0,19,-72,,
41,1992,410108,108,Haiti,2,6/2/92,6/2/92,2,6,1992,2,6,1992,1,Demonstrators,41.15,0,,,,,,,Government,41.01,0,,,,1,0,-99,0,1,Unknown,Unknown,1,-99,-99,10,,,Police broke up a funeral march for the slain brother of a prominent Aristide supporter; at least 10 people were arrested and several badly beaten by police.,AP,0,,0,19,-72,UNKNOWN,no
41,1992,410109,109,Haiti,2,6/19/92,6/19/92,19,6,1992,19,6,1992,1,Students,41.09,0,Professors,41.19,0,,,,Government,41.01,0,,,,1,0,3,0,1,Port-Au-Prince,Port-Au-Prince,1,1,1,10,,,About 250 students and professors at a teachers' school banged on their desks and chanted anti-Bazin slogans; police ringed the school to stop the demonstrators from leaving the school.,AP,0,,0,19,-72,,
41,1992,410110,110,Haiti,8,8/13/92,8/13/92,13,8,1992,13,8,1992,1,Unnamed group,41.15,0,,,,,,,Government,41.01,0,,,,1,0,2,0,0,Les Cayes,Les Cayes,1,3,3,10,,,Soldiers exchanged gunfire with about 15 armed gunmen and one soldier was wounded near a training site for members of an anti-government group. ,AP,0,Coded as an etype 8 because shootout occurred near training site for militant group so this strongly implies a militant organization was involved,0,18,-74,,
41,1992,410111,111,Haiti,4,8/17/92,8/17/92,17,8,1992,17,8,1992,1,Unknown,41.17,0,,,,,,,Government,41.01,0,,,,1,0,-99,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,14,,,A small bomb exploded in a park across the street from Prime Minister Marc Bazin's home.,AP,0,Government coded as target because bomb went off across the street from prime minister's home,0,19,-72,,
41,1992,410113,113,Haiti,4,8/17/92,8/17/92,17,8,1992,17,8,1992,1,Assailants,41.18,0,,,,,,,Government,41.01,0,,,,1,0,-99,0,0,Unknown,Unknown,1,-99,-99,14,,,"Assailants broke into the house of Clifford Larose, a former Information Ministry official in Aristide's government, gravely injuring him.",AP,0,Included in dataset because former government official was target of violence,0,19,-72,UNKNOWN,no
41,1992,410115,115,Haiti,2,8/25/92,9/1/92,25,8,1992,1,9,1992,8,Chinese men,41.14,0,,,,,,,Haitian Government,-41,1,,,,1,0,3,0,1,Jacmel,Jacmel,1,3,3,13,,,151 Chinese men that came to Haiti in a fishing boat staged a hunger strike to avoid expulsion from Haiti; they were moved by Haitian police back to the trawler.,AP,0,Start and end date of hunger strike not specified,0,18,-73,,
41,1992,410116,116,Haiti,1,10/30/92,10/30/92,30,10,1992,30,10,1992,1,Amnesty International,41.1314.012,1,,,,,,,U.S. Government,-2,1,,,,0,0,-99,0,0,Windward Passage between Cuba and Haiti,Windward Passage between Cuba and Haiti,1,6,6,10,8,,Amnesty International sailed off the coast of Haiti and unfurled a 50- foot banner protesting the forced return of Haitian people that fled Haiti after the 1991 coup.,AP,0,Coded as an event for Haiti because protest was off the coast of Haiti; event start and end date was day that boat passed by Haiti's coast,0,20,-74,Location estimated.,no
41,1993,410119,119,Haiti,2,1/18/93,1/18/93,18,1,1993,18,1,1993,1,Workers,41.07,0,,,,,,,Government,41.01,0,,,,1,1,-99,0,0,Unknown,Unknown,1,-99,-99,1,,,Workers shut down most bus and motorcycle transport to protest a district election.,AP,0,Coded as cgovtarget 1 because election was also for parliamentary seats,0,19,-72,UNKNOWN,no
41,1993,410120,120,Haiti,4,1/18/93,1/18/93,18,1,1993,18,1,1993,1,Precinct captains,41.01,0,,,,,,,District election bureau,41.01.109,1,,,,0,1,-99,0,0,Western District,Western district,1,6,6,2,,,"Precinct captains became angry when the president of the district's election bureau refused to pay them; a shot was fired in the air and the workers dispersed, tipping over and spilling ballots.",AP,0,Coded as 0 for repression because unclear who fired shot,0,19,-73,Location estimated.,no
41,1993,410123,123,Haiti,2,1/31/93,1/31/93,31,1,1993,31,1,1993,1,Demonstrators,41.15,0,,,,,,,U.N. envoy Dante Caputo,41.14.015-6,1,,,,0,0,3,0,0,Unknown,Unknown,1,-99,-99,11,8,,"About 1,000 people demonstrated to protest United Nations envoy Caputo's visit.",AP,0,Difficult to distinguish events during January 31 and February 1,0,19,-72,UNKNOWN,no
41,1993,410124,124,Haiti,1,2/1/93,2/1/93,1,2,1993,1,2,1993,1,Tonton Macoutes members,41.05.411,1,Pro-military demonstrators,41.15,0,,,,U.N. envoy Dante Caputo,41.14.015-6,1,,,,0,0,3,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,11,8,10,A pro-government protest was held against U.N. envoy Dante Caputo. ,AP,0,Difficult to distinguish events during January 31 and February 1; coded as an organized demonstration because the Haitian government televised the protests and encouraged people to attend the demonstrations; former militiamen seem to have playe,0,19,-72,,
