Date,State,Dead,Injured,Total,Description
25/08/2018,Virginia,0,6,6,"Five people were shot and wounded during an armed robbery of Liquid Café. One other individual had an unspecified injury ""by other means"" than gunfire."
23/08/2018,Pennsylvania,0,4,4,Four people were injured during a shooting in the Oxford Circle neighborhood of Philadelphia.
22/08/2018,Missouri,0,4,4,"A rapper's tour van ""came under fire"" on I-64 after a concert at around 11:05 PM. Four people were injured. It's not clear if the rapper himself was shot."
21/08/2018,Tennessee,0,6,6,"Six people were wounded by gunfire in a shooting outside of an apartment complex, following a large fight in the same location the previous day. One of the wounded men was arrested, but charges against him were later dropped."
20/08/2018,Tennessee,1,4,5,Five people were injured in a shooting at a bar. One of the victims later died of his injuries.
20/08/2018,Ohio,1,3,4,A fight over drugs resulted in one person being killed and three others being wounded.
19/08/2018,Illinois,0,5,5,Five were wounded in a shooting after a softball game in the Grand Crossing neighborhood of Chicago.
19/08/2018,Michigan,1,3,4,One person was killed and three others were wounded in a drive-by shooting at a family gathering.
18/08/2018,New Jersey,0,5,5,"Four people were wounded by gunfire following an event where school supplies were distributed to children. A fifth person, a child, received minor injuries after being struck by a dirt bike operated by one of the attackers."
18/08/2018,New York,0,4,4,Four people were injured during gunfire during a drive-by shooting following a fight in a Bronx lounge.
17/08/2018,Illinois,0,7,7,Seven people were wounded in a shooting in the Englewood neighborhood of Chicago.
15/08/2018,South Carolina,0,5,5,Five people were injured when they were shot during a backyard gathering to mourn the death of a family member who had died in a car accident earlier that month.
14/08/2018,Pennsylvania,0,5,5,"After a dispute at a grocery store checkout line, a man pulled a handgun from his sister's waistband and wounded five people. The suspect was arrested."
12/08/2018,California,4,1,5,A father killed three of his children and wounded the fourth before killing himself.
12/08/2018,Pennsylvania,0,4,4,A woman shot and injured four people in a street fight in the East Liberty neighborhood of Pittsburgh. She later turned herself in to police.
11/08/2018,Ohio,0,4,4,Two adults and two children were wounded in a shooting at a party at a park in north Columbus.
11/08/2018,California,1,4,5,One person was killed and four others were shot in an early-morning shooting in the Crocker-Amazon neighborhood of San Francisco.
11/08/2018,Colorado,1,3,4,"After being kicked out of a sports bar following several fights, a man returned with a gun and killed a bartender. Three others were wounded by gunfire. The shooter was taken into custody."
10/08/2018,Missouri,0,4,4,A man wounded four people at a gas station after shooting at them from his truck. He was arrested by police.
10/08/2018,Michigan,0,4,4,Four people were wounded by a gunman who was later taken into custody.
08/08/2018,New Jersey,0,4,4,Four people were wounded by a gunman.
08/08/2018,Pennsylvania,2,4,6,Two people were killed and four were injured in a drive-by shooting in North Philadelphia.
05/08/2018,Illinois,1,4,5,One person was killed and four were injured in the Austin neighborhood of Chicago.
05/08/2018,Illinois,0,4,4,Four people were wounded at Humboldt Park when they were shot at by two people in a car.
05/08/2018,Illinois,0,4,4,Four people were wounded by gunfire at a house party.
05/08/2018,Illinois,0,8,8,Eight people were wounded when a group of men approached them in a courtyard and began shooting.
05/08/2018,Illinois,1,5,6,Two shooters killed one person and wounded five others when they began shooting at a group standing on a sidewalk.
04/08/2018,Missouri,0,6,6,Six people were shot when a man pulled a handgun from his waistband during a fight. The suspect was taken into custody.
04/08/2018,Nevada,0,6,6,Six people were injured during a shooting at a house party.
04/08/2018,Illinois,1,3,4,One person was killed and three were injured in the Austin neighborhood of Chicago.
04/08/2018,Wisconsin,0,4,4,Four people were injured when a gunman began shooting from a car at a group of people who were grilling and playing basketball in a park.
31/07/2018,California,2,3,5,"After becoming upset at a party, a man killed one person and wounded three others, including his girlfriend. He was driven from the scene by his friend and his friend's wife. He later shot and killed his friend, but his attempt to kill his friend's wife failed when his gun malfunctioned."
30/07/2018,Georgia,0,4,4,Four people were injured when shots were fired during a dispute in a parking lot.
30/07/2018,Illinois,0,4,4,Four people were injured in a drive-by shooting.
29/07/2018,Pennsylvania,0,4,4,Four people were injured in a shooting.
29/07/2018,Arizona,1,4,5,One person was killed and four were injured in a shooting following a verbal altercation at an inn.
29/07/2018,Michigan,0,4,4,Four people were injured when they were shot after a fight broke out.
28/07/2018,Louisiana,3,7,10,Two gunmen killed three people and injured seven others in a shooting at a daiquiri shop.
28/07/2018,California,2,4,6,Two people were killed and six were injured in a drive-by shooting by a liquor store.
27/07/2018,Illinois,0,4,4,Three children and an adult were injured in a shooting.
27/07/2018,Texas,5,0,5,"A man killed his father and stepmother, as well as their adopted son and his stepmother's son, before killing himself in a murder–suicide at a nursing home."
26/07/2018,Ohio,1,6,7,One person was killed and six were injured in a shootout involving multiple gunmen at a bar after the filming of a rap music video.
26/07/2018,California,2,2,4,"A gunman shot at a moving car, killing two occupants and injuring the other two."
26/07/2018,Texas,0,6,6,Six people were injured in a drive-by shooting.
25/07/2018,Louisiana,0,4,4,Four people were injured when a truck pulled up beside a car and one or more of its occupants began shooting. A suspect was arrested.
23/07/2018,Illinois,0,5,5,Five people were wounded when someone began firing at them while they stood on a sidewalk.
21/07/2018,Maryland,0,4,4,Four people were wounded in a shooting.
21/07/2018,Illinois,2,5,7,Two people were killed and five injured when they were shot by four gunmen in a park.
20/07/2018,Washington,1,4,5,One person was killed and four were injured after a shooter opened fire into a backyard party.
20/07/2018,New Jersey,0,4,4,Four people were wounded when three gunmen began shooting at them at a restaurant.
18/07/2018,Oklahoma,0,4,4,"Four people were wounded when shots were fired during a large fight in an apartment complex. Four people were arrested on other charges, but the shooter or shooters were not identified."
16/07/2018,Florida,2,4,6,Two people were killed and four others were injured when a gunman began shooting at them while they were standing in a yard.
16/07/2018,Pennsylvania,1,4,5,Two gunmen killed one person and injured four others.
16/07/2018,District of Columbia,1,4,5,"Masked men drove up in a car and began shooting into a crowd, killing a ten-year-old girl and injuring three others. Three people were arrested in relation to the shooting."
15/07/2018,Colorado,0,4,4,Four people were wounded during a shooting following a fight at a party.
15/07/2018,Tennessee,0,5,5,Five people were injured when a shooter fired into a group of people gathered in a parking lot outside a club.
14/07/2018,Maryland,0,4,4,Four people were injured in a shooting.
13/07/2018,Virginia,1,3,4,One person was killed and three people were wounded in a shooting outside a nightclub in Scott's Addition.
12/07/2018,Tennessee,0,5,5,Five people were wounded in a shooting near a community center. Police believe the shooting was spurred by an earlier fight over a dice game.
11/07/2018,Texas,0,4,4,Four people were injured in a drive-by shooting while they were inside their car at restaurant.
11/07/2018,Florida,0,4,4,"Gunmen injured four people—two inside a mobile home, and two in separate vehicles outside of the home."
09/07/2018,Delaware,5,0,5,A man killed his wife and three children in their home before killing himself in a murder–suicide.
09/07/2018,Florida,1,4,5,"Following a fight, a man was killed and four other people were injured by gunshots. Two people were arrested."
08/07/2018,Alabama,0,6,6,"Six people, including a suspect, were wounded during a shooting at a bar."
08/07/2018,Tennessee,0,4,4,Four people were injured in a shooting.
07/07/2018,Alabama,3,2,5,A man killed his wife and one of his children and wounded his other two children before setting the house on fire and killing himself in a murder–suicide.
05/07/2018,New York,0,4,4,Four people were injured in Brooklyn when they were shot at while standing outside.
05/07/2018,New York,0,4,4,Four people were injured in a shooting.
05/07/2018,California,3,3,6,Three people were killed and three others were wounded during a Fourth of July party. Police believe the shooting was gang-related.
05/07/2018,Virginia,0,6,6,Six people were injured while walking down the street. A suspect was taken into custody.
05/07/2018,Ohio,1,5,6,One person was killed and five were injured in a shooting at a Fourth of July party.
04/07/2018,Indiana,1,3,4,One person was killed and three were wounded.
04/07/2018,Georgia,1,3,4,"After a bar fight spilled into a parking lot, shots were fired, killing one person and wounding three others."
03/07/2018,Missouri,1,5,6,One person was killed and five others were wounded in a drive-by shooting.
03/07/2018,District of Columbia,0,4,4,Four people were injured in a shooting.
02/07/2018,New York,2,2,4,"A woman and a 17-month-old child were killed in a shooting that injured two others. One person was taken into custody, although police suspect others were involved. Police believe the shooting was gang-related."
01/07/2018,Illinois,0,6,6,"Six people were injured when a gunman opened fire on three people on a sidewalk. In addition to the three people on the sidewalk, three children in a car were wounded."
30/06/2018,Georgia,1,6,7,"Several shooters fired into a crowd that was fleeing a nightclub, killing one person and injuring six. Police arrested one suspect, and believe the shooting was gang-related."
30/06/2018,Maryland,0,6,6,Six people were injured at a barbecue when an unknown person walked into the yard and began firing.
30/06/2018,New Jersey,0,5,5,Five people were injured when several people began exchanging gunfire. One suspect was arrested.
28/06/2018,Maryland,5,2,7,Capital Gazette shooting: A gunman entered the offices of The Capital Gazette and killed five employees and wounded two others.
27/06/2018,California,1,3,4,One person was killed and three were injured when at least one person began shooting at them outside a mini-mart.
27/06/2018,Texas,0,4,4,"During an argument between neighbors, two people drew weapons and wounded four people. One suspect was arrested."
27/06/2018,Connecticut,0,4,4,Four victims were injured in a drive-by shooting outside a bodega.
25/06/2018,Illinois,0,6,6,Six people were injured when a gunman began firing upon them as they stood near a park.
24/06/2018,North Carolina,1,6,7,One person was killed and six were injured during a fight at a birthday party. One of the wounded was arrested.
24/06/2018,Florida,0,4,4,Four people were wounded when an uninvited guest at a birthday party at an event center began shooting.
24/06/2018,Florida,0,4,4,Four people were injured in a shooting at a block party.
24/06/2018,Florida,1,3,4,One person was killed and three were injured in a shooting. Six teenage suspects were arrested in relation to the shooting after leading police on a car chase.
24/06/2018,Indiana,1,3,4,One person was killed and three were wounded in a shooting.
24/06/2018,Ohio,0,5,5,"After several fights inside a bar led the bar owner to close for the night, the fights continued outside before escalating to a shooting in which five people were wounded."
23/06/2018,Kansas,0,4,4,Four people were injured in a gang-related shooting.
23/06/2018,Illinois,1,4,5,One person was killed and four others were injured after being shot at from a vehicle.
23/06/2018,Tennessee,0,4,4,Four people were injured in a shooting.
22/06/2018,Pennsylvania,1,3,4,One person was killed and three were injured when their car was shot at from another car.
21/06/2018,California,1,3,4,One person was killed and three were wounded in a fight that progressed to a shooting outside of a liquor store.
21/06/2018,Louisiana,0,4,4,Four people were wounded in a shooting.
21/06/2018,Illinois,0,4,4,Four people were wounded in a shooting.
20/06/2018,California,0,5,5,Five people were injured when someone drew a gun and began shooting during a fight.
19/06/2018,Alabama,0,4,4,A man returned after an argument and wounded four people. He was later taken into custody.
18/06/2018,Illinois,2,3,5,Two people were killed and three people were injured in a shooting after a fight at a party.
18/06/2018,Illinois,3,1,4,Three people were killed and a four-year-old child was wounded in a shooting.
17/06/2018,North Carolina,0,4,4,Four people were injured in a shooting at a gas station.
17/06/2018,New Jersey,1,22,23,Art All Night shooting: Multiple gunmen wounded 17 people at the Art All Night festival. Five others were wounded when they were trampled by people around them. One of the suspected gunmen was shot and killed by police. Police suspect the shooting was gang-related.
17/06/2018,Georgia,1,3,4,A teenager was killed and three other people were injured in a drive-by shooting during a cookout. A 15-year-old was later charged with the killing.
17/06/2018,Illinois,0,4,4,A gunman walked up to and wounded four people standing on the street.
14/06/2018,Pennsylvania,0,4,4,Four people were injured in a shooting.
14/06/2018,California,0,5,5,Five people were injured in a shooting that took place in a cemetery.
14/06/2018,California,1,4,5,A fight turned into a shooting that resulted in a 15-year-old being killed and four other people being injured.
14/06/2018,New York,1,4,5,One person was killed and four were wounded in a drive-by shooting.
14/06/2018,Colorado,1,3,4,"A 13-year-old boy was killed, and his mother, 8-year-old brother, and a bystander were wounded in a road rage incident after the shooter followed them to the parking lot of a dentist's office. The shooter was arrested."
12/06/2018,New York,0,4,4,Four people were injured in a shooting in the Bronx.
11/06/2018,Alabama,0,4,4,Four people were injured in a shooting after a verbal altercation. Three suspects were arrested.
11/06/2018,Florida,5,1,6,"After barricading himself and his four children in a home for nearly 24 hours, a man shot and wounded a police officer before killing the four children and himself."
10/06/2018,Florida,1,5,6,One person was killed and five others were injured after a fight in a bar moved outside and a member of one of the groups began shooting.
10/06/2018,California,0,6,6,Six people were injured by gunfire at a birthday party.
10/06/2018,Indiana,1,4,5,A 14-year-old boy was killed and four other people were wounded at a party. A 14-year-old boy was arrested in connection to the shooting.
10/06/2018,Illinois,0,7,7,"Seven people were injured after gunfire broke out at a party. Several men arrived at the home and began to shoot, and an attendee at the party shot back. The police believe the incident was gang-related."
10/06/2018,Illinois,2,2,4,Two people were killed and two others were wounded after a shooting at a birthday party. The suspect was later taken into custody.
10/06/2018,Illinois,1,5,6,One person was killed and five others were injured in a drive-by shooting.
09/06/2018,Massachusetts,0,4,4,Four people were injured in a shooting at a house party.
09/06/2018,North Carolina,0,4,4,Four people were wounded after a gunman began shooting outside a high school graduation party.
09/06/2018,Pennsylvania,1,4,5,Four or five gunmen killed one person and injured four others.
05/06/2018,Florida,3,1,4,Three men were killed and a fourth was injured after a car pulled up alongside theirs and the occupant began shooting.
03/06/2018,Texas,0,5,5,"After an argument at a football game, a man drove a moped into the middle of the field and began to fire a gun. Multiple people then began firing at the shooter. Five people were injured in the exchange of gunshots."
03/06/2018,Illinois,1,3,4,One person was killed and three others were wounded by two gunmen in a drive-by shooting.
02/06/2018,Nebraska,1,6,7,One person was killed and six others were injured in a shooting. A suspect was taken into custody.
02/06/2018,New York,0,5,5,Five people were injured in a shooting at an outdoor gathering.
31/05/2018,South Carolina,3,2,5,"A man killed a woman and two of her daughters, and injured her husband and her third daughter, when he shot them at their home. He has been arrested."
04/06/2018,Arizona,7,0,7,"2018 Scottsdale shootings: Over the course of several days (May 30, 2018 to June 4, 2018), a man killed a forensic psychologist, two paralegals, a counselor, and a couple from whom he took a handgun. The suspect killed himself when police began closing in on him."
27/05/2018,Louisiana,0,4,4,Four people were injured in a shooting on the bank of the Red River.
27/05/2018,Colorado,1,3,4,A fight in a nightclub spilled into the parking lot and resulted in a shooting that killed one person and injured three others.
25/05/2018,Ohio,0,4,4,A shooting broke out after a man tried to rob a group of people playing dice. Four people were injured by gunshots. Two men were arrested.
20/05/2018,Indiana,0,4,4,Four people were wounded in a shooting at a block party.
20/05/2018,Mississippi,1,7,8,"Two suspects fired shots into a nightclub, killing one person and wounding seven others."
18/05/2018,Texas,10,14,24,"Santa Fe High School shooting: A student at Santa Fe High School shot and killed ten people and wounded fourteen others. Explosive devices were also found, but they were not detonated. The suspect was taken into custody by police."
16/05/2018,Texas,5,1,6,A man wounded his ex-wife and killed their three children and his ex-wife's boyfriend before killing himself in a murder–suicide.
14/05/2018,Maryland,0,4,4,Four men were wounded in a shooting near a playground.
13/05/2018,California,3,2,5,"A shooter fired into a home, killing a five-year-old girl and her parents, and wounding two other family members."
13/05/2018,Mississippi,0,4,4,"A man opened fire at a block party, possibly after a fight over a dice game, wounding four people. The suspect was arrested."
13/05/2018,California,2,2,4,A man killed one teenage boy and wounded three others. One of the wounded boys died in the hospital several days later.
12/05/2018,Nebraska,0,7,7,Seven people were wounded in a shooting.
12/05/2018,New Jersey,0,4,4,Four people were injured by gunfire in a shooting following a fight at a birthday party.
11/05/2018,Missouri,0,4,4,Two children and two adults were injured when shooters fired at them from two cars.
11/05/2018,Oklahoma,1,4,5,"Four police officers were injured in a shootout while trying to execute a search warrant, either by gunfire or from shrapnel from explosives in the home. The suspect was killed."
09/05/2018,Nebraska,0,4,4,Four people were injured in a suspected drive-by shooting outside an apartment complex.
09/05/2018,Missouri,0,4,4,Four people were wounded in a shooting.
07/05/2018,California,0,5,5,Two men approached a group of people and wounded four people. A fifth victim was shot and wounded several blocks away. Police believe the first attack was gang-related.
06/05/2018,Oklahoma,0,4,4,"After a fight and theft from the bar and a tip jar, private security shut down a party. As the guests left, several weapons were fired and four people were injured."
06/05/2018,Tennessee,2,4,6,Two people were killed and four were injured after they were shot while traveling in a car by a gunman in another car.
05/05/2018,Georgia,0,5,5,Five people were injured in a shooting. A suspect was arrested.
04/05/2018,North Carolina,0,4,4,Four people were injured in a shooting.
04/05/2018,Illinois,0,4,4,A shooting at a house party wounded four people.
02/05/2018,Illinois,1,4,5,"A man shot at a group of people from a car, killing one and wounding four. He and the driver of the car were later arrested."
02/05/2018,Minnesota,0,6,6,Six people were wounded after guns were fired following an argument at a housing complex. Three people were arrested.
02/05/2018,New York,1,4,5,One person was killed and four were wounded following a shooting outside of a Brooklyn apartment complex.
01/05/2018,Louisiana,0,5,5,Five people were injured in a shooting.
30/04/2018,Florida,0,4,4,A man pulled out a gun after being punched during an after-party at a club and wounded four people.
30/04/2018,District of Columbia,0,4,4,Four people were injured in a drive-by shooting.
29/04/2018,Tennessee,0,4,4,A man shot and wounded two people at an apartment complex. Two more people were wounded by gunfire while trying to disarm the shooter. The shooter was arrested.
29/04/2018,Washington,2,2,4,Two people were killed and two others were injured in a shooting in a parking lot outside a motorcycle club.
29/04/2018,North Carolina,1,3,4,A man killed one person and wounded three others in a shooting. He was later arrested by police.
29/04/2018,Florida,1,3,4,A man killed one person and injured three others in a shooting at a nightclub. He was later arrested by police.
28/04/2018,North Carolina,0,5,5,Five were injured in a shooting following an argument at a party.
25/04/2018,Arkansas,0,4,4,Four people were injured after men stepped out of a truck and began shooting at them.
25/04/2018,Missouri,3,1,4,Three people were killed and one was wounded after being shot in a home. A suspect was later taken into custody by police.
24/04/2018,Michigan,0,4,4,Four people were injured in a shooting.
22/04/2018,Louisiana,1,5,6,"After a domestic issue, a man went on a shooting spree that resulted in one death and five people being injured by gunfire. The man was arrested."
22/04/2018,Tennessee,4,2,6,"Nashville Waffle House shooting: A gunman entered a Waffle House, where he killed four people and injured two others. He was later taken into custody."
21/04/2018,Pennsylvania,2,2,4,A man killed two people and wounded two others after being kicked out of a party.
20/04/2018,California,1,5,6,"A gunman shot six men standing near each, killing one and injuring five."
18/04/2018,North Carolina,4,3,7,"A man killed a mother and two of her children, wounded her other three children, and then killed himself."
15/04/2018,Louisiana,0,6,6,Six people in a tattoo parlor were injured when they were shot at by a person in a pickup truck outside the business.
09/04/2018,California,0,4,4,Four people were injured in a shooting outside an apartment complex.
08/04/2018,North Carolina,1,3,4,"Several people fired hundreds of rounds outside of a bar, killing one person and injuring three others. Three men were arrested."
08/04/2018,Florida,2,2,4,Two people were killed and two were wounded in a shooting in the Liberty City neighborhood of Miami.
06/04/2018,Florida,0,4,4,Four people were wounded in a shooting.
06/04/2018,Virginia,1,3,4,One person was killed and three others were injured in a shooting.
